    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0098,0.061577128, 345.30135,-345.36293, 2254.2446,-222.65508, 506.88734,-284.23227, 502.19769
      0.01,5.5406212e-005, 443.91335, -443.9134, 2798.6951,-252.80038, 505.65616,-252.85578, 500.76935
    0.0102,-0.061466535, 543.47493,-543.41346, 3394.9977, -283.6103, 505.75401,-222.14371, 500.66813
    0.0104,-0.1227459, 638.08109,-637.95835, 4005.4212,-314.94271,  507.1394,-192.19669, 501.86438
    0.0106,-0.18354086, 721.94983,-721.76629, 4584.1403, -346.6221, 509.70316,-163.08106, 504.26046
    0.0108,-0.24361142,  789.6281,-789.38448, 5080.6782,-378.42879, 513.24591,-134.81712, 507.66792
     0.011,-0.30272053, 836.00129,-835.69857,  5443.513,-410.11848, 517.51613,-107.39764, 511.84546
    0.0112,-0.36063505, 856.65013,-856.28949, 5626.8944,-441.40769, 522.17998,-80.772285, 516.46808
    0.0114,-0.41712625, 847.70642,-847.28929, 5594.6124,-471.99477, 526.86287,-54.868103, 521.16893
    0.0116,-0.47197125, 805.97564,-805.50367, 5325.3422,-501.56062, 531.14952,-29.588903, 525.53911
    0.0118,-0.52495359, 729.15712,-728.63217, 4817.9875, -529.7686, 534.58309, -4.814487, 529.12637
     0.012,-19.281516, 625.23727,-605.95576, 4110.0241,-536.12468, 536.71136,-0.58667365, 531.48124
    0.0122,-90.636324, 510.52352, -419.8872, 3340.7139,-536.97729, 537.30654,-0.32925055, 532.37721
    0.0124,-214.23339, 384.56758,-170.33418, 2612.2745,-536.26695, 536.22305,0.043899164, 531.66922
    0.0126, -317.8274, 318.05119,-0.22379096, 2201.7657,-534.04286, 378.91702, 155.12584, 529.40805
    0.0128,  -353.647, 353.81046,-0.1634538,  2375.443,-531.89379, 347.67388, 184.21991,  527.1874
     0.013,-402.50699, 402.60947,-0.10247156, 2632.1497,-530.33702, 316.40434, 213.93268, 525.53297
    0.0132,-459.55994, 459.60102,-0.04108491, 2951.6667,-529.50504,   285.295, 244.21004, 524.58694
    0.0134,-519.82625, 519.80579,0.020463888, 3309.5494, -529.4682, 254.50214, 274.96605, 524.42962
    0.0136,-578.26144,  578.1795,0.081931914, 3676.2339,-530.21668, 224.14234, 306.07434,  525.0613
    0.0138,-629.90091, 629.75784, 0.1430766, 4017.8314,-531.68392, 194.30359, 337.38033, 526.42533
     0.014, -669.9552, 669.75154,0.20365662, 4297.6927,-533.74279, 165.04298, 368.69981, 528.40415
    0.0142,-693.93087, 693.66744,0.26343291, 4479.1376,-536.20168, 136.38425, 399.81743, 530.81515
    0.0144, -697.7477, 697.42553,0.32216954, 4528.9578,-538.81099, 108.32056, 430.49043,  533.4169
    0.0146,-677.84547, 677.46583,0.37963472, 4421.2711,-541.27068, 80.817786, 460.45289, 535.91645
    0.0148,-631.27666, 630.84105,0.43560166, 4141.2751,-543.23839, 53.818149, 489.42024, 537.97736
     0.015,-555.65367, 555.16382,0.48984947, 3687.6518,-544.34306, 27.246548, 517.09651, 539.23333
    0.0152,-449.54441, 449.00224,0.54216408, 3076.9696,-544.17833, 1.0068557, 543.17147, 539.28087
    0.0154,-325.99616, 297.76835,  28.22781, 2370.5071, -542.3845,0.26954027, 542.11496, 537.76182
    0.0156,-199.48814, 86.866054, 112.62209, 1718.5044,-538.86358,-0.025756009, 538.88934, 534.57831
    0.0158,-161.22845,0.26353968, 160.96491, 1435.6019,-398.97127,-135.43132, 534.40259, 530.08147
     0.016,-189.56633,0.20376493, 189.36257, 1543.4508,-366.92862,-163.16348,  530.0921, 525.71423
    0.0162,-237.02441,0.14318622, 236.88122, 1753.2696,-334.75662,-191.57026, 526.32688, 521.85403
    0.0164,-298.80525,0.082042343,  298.7232, 2051.7091,-302.68307,-220.64064, 523.32371, 518.72723
    0.0166,-369.80642,0.020574663, 369.78585, 2421.8678,-270.90282,-250.32814, 521.23097, 516.49241
    0.0168, -444.7194,-0.040974195, 444.76037, 2841.1088, -239.5743,-280.54853, 520.12283, 515.23439
     0.017,-518.17349,-0.10236135, 518.27585, 3280.2973,-208.82318,-311.18464, 520.00782, 514.97241
    0.0172,-584.84979,-0.16334454, 585.01313, 3704.1509,-178.73718,-342.08189, 520.81907, 515.65025
    0.0174,-639.61351,-0.22368308,  639.8372, 4073.0752,-149.37008,-373.05338, 522.42346, 517.14506
    0.0176,-677.66937,-0.28313884, 677.95251, 4346.3378,-120.73914,-403.87826,  524.6174, 519.26283
    0.0178,-694.63362,-0.34147718,  694.9751, 4485.6741,-92.832326,-434.30985, 527.14218, 521.75362
     0.018,-686.69429,-0.39846788, 687.09276, 4459.9472,-65.606574,-464.07485, 529.68143,  524.3087
    0.0182,-650.66663,-0.45388599, 651.12051, 4249.2083,-38.994649,-492.88109, 531.87574, 526.57501
    0.0184,-584.11837,-0.50751284, 584.62588, 3848.7437,-12.907104,-520.42045, 533.32755, 528.15987
    0.0186,-481.52959,-8.2147006, 489.74429, 3272.3572,-0.47331441,-533.15107, 533.62439, 528.65418
    0.0188,-320.96684,-65.590917, 386.55776, 2641.9073,-0.25537567, -532.2657, 532.52108, 527.81462
     0.019,-99.182445,-177.98125, 277.16369, 2058.7751,0.078798722,-530.01283, 529.93403, 525.55874
    0.0192,-0.24371875,-252.05878,  252.3025, 1849.3628, 141.47923,-526.67746, 385.19823, 522.17415
    0.0194,-0.18364969,-296.80962, 296.99327, 2056.5819, 170.03611, -523.7221, 353.68598, 519.12934
    0.0196,-0.12285584,-356.96934,  357.0922, 2360.3533, 199.32319,-521.50235, 322.17915, 516.78933
    0.0198,-0.061577128,-427.52233,  427.5839, 2743.6684, 229.30096,-520.17911, 290.87815, 515.32504
      0.02,-5.5406355e-005,-503.19991, 503.19996, 3183.9355, 259.89703,-519.84946, 259.95243,  514.8441
    0.0202,0.061466535,-578.57348, 578.51201, 3651.5674, 290.99878,-520.53096, 229.53218, 515.37491
    0.0204, 0.1227459,-648.29113, 648.16839, 4110.8171, 322.45837,-522.17073, 199.71235, 516.87531
    0.0206,0.18354097, -707.1307, 706.94716, 4520.9019, 354.09694,-524.65272, 170.55578, 519.23969
    0.0208,0.24361142,-750.18203, 749.93842,  4839.132, 385.69818, -527.7847, 142.08652, 522.28563
     0.021,0.30272062,-772.89575, 772.59303, 5024.2648,  417.0213,-531.32168, 114.30038, 525.77726
    0.0212,0.36063505,-771.30425, 770.94362, 5041.5919, 447.79443,-534.95344, 87.159016, 529.41226
    0.0214,0.41712621,-741.98219, 741.56506, 4866.4873, 477.72819,-538.32974, 60.601557, 532.84727
    0.0216,0.47197127,-682.31557,  681.8436, 4489.7076, 506.51249,-541.05323, 34.540748, 535.69015
    0.0218,0.52495359,-590.42039, 589.89543, 3919.4643, 533.82821, -542.7023, 8.8740953, 537.52307
     0.022, 13.274045,-471.58158, 458.30754,  3190.262, 542.41251,-542.85755,0.44503305, 537.92874
    0.0222, 78.663276, -345.4107, 266.74742, 2445.6309, 541.11691,  -541.305,0.18808396, 536.69392
    0.0224,  198.7499,-212.91584, 14.165941, 1794.5177, 538.14561,-537.96103,-0.18458377, 533.73502
    0.0226, 222.54951, -222.7733, 0.2237909, 1718.9111,  534.3314,-379.06126,-155.27013, 529.88714
