    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0098,0.061577128, 346.28559,-346.34716, 2259.4927,-222.64605,  506.8693,-284.22324, 502.17768
      0.01,5.5406046e-005, 444.92055,-444.92061, 2804.5032,-252.79914, 505.65369,-252.85455, 500.76486
    0.0102,-0.061466535, 544.47293,-544.41146, 3401.1895,-283.61696, 505.76733,-222.15037, 500.67945
    0.0104,-0.1227459, 639.03332,-638.91057, 4011.7357,-314.95832, 507.17062, -192.2123, 501.89369
    0.0106,-0.18354083, 722.83265,-722.64911,   4590.33,-346.64434, 509.74766,-163.10332,  504.3032
    0.0108,-0.24361142, 790.39351,-790.14989, 5086.3076,-378.45893, 513.30619,-134.84726, 507.72667
     0.011,-0.30272051, 836.64813,-836.34541, 5448.4412,-410.15369, 517.58658,-107.43288, 511.91462
    0.0112,-0.36063504, 857.08944, -856.7288,  5630.372,-441.44967, 522.26394,-80.814269, 516.55117
    0.0114,-0.4171263,  847.8634,-847.44628, 5596.0254,-472.04338, 526.96003,-54.916654, 521.26577
    0.0116,-0.47197125, 805.87139,-805.39942, 5324.8584,-501.61165, 531.25158,-29.639928, 525.64137
    0.0118,-0.52495359, 728.84992,-728.32497, 4816.1247,-529.81764, 534.68117,-4.8635286, 529.22506
     0.012, -19.19623, 624.72914,-605.53291,  4107.138,-536.21709, 536.80343,-0.58633609, 531.57424
    0.0122, -90.45078, 509.81493,-419.36415, 3336.9551, -537.0611, 537.39001,-0.32891304,  532.4619
    0.0124,-213.96052, 383.68281, -169.7223, 2607.9677,-536.33988, 536.29565,0.044238175, 531.74331
    0.0126,-317.07883, 317.30262,-0.22379096, 2197.9845,-534.10321,  378.9472, 155.15601, 529.46989
    0.0128, -352.8657, 353.02915,-0.1634538,  2371.342,-531.94087, 347.69742, 184.24345, 527.23604
     0.013,-401.66008, 401.76255,-0.10247156, 2627.4997,-530.37332, 316.42249, 213.95083, 525.57095
    0.0132,-458.66668, 458.70776,-0.04108491, 2946.5303,-529.53261, 285.30878, 244.22383,  524.6163
    0.0134,-518.89737, 518.87691,0.020463883, 3303.9537,-529.48517, 254.51064, 274.97454, 524.44846
    0.0136,-577.30164, 577.21971,0.081931914, 3670.2173,-530.23018, 224.14909, 306.08109, 525.07672
    0.0138,-628.89028, 628.74721, 0.1430766, 4011.2922,-531.69986, 194.31156,  337.3883, 526.44328
     0.014, -668.8637, 668.66005,0.20365662, 4290.4598,-533.76146, 165.05232, 368.70914,   528.425
    0.0142,-692.72561, 692.46218,0.26343291, 4471.0317,-536.22072, 136.39378, 399.82695,  530.8366
    0.0144,-696.40228, 696.08011,0.32216954, 4519.8754,-538.82695, 108.32854, 430.49841, 533.43554
    0.0146,-676.34132, 675.96169,0.37962879, 4411.2118,-541.27965, 80.825241, 460.45441, 535.92843
    0.0148,-629.60758, 629.17197,0.43560511,  4130.396,-543.23627, 53.815361, 489.42091, 537.97858
     0.015,-553.95379, 553.46394,0.48984946, 3677.0307,-544.32081, 27.235429, 517.08538, 539.21448
    0.0152,-447.88442, 447.34226,0.54216408, 3067.2409,-544.13384,0.98460794, 543.14923,  539.2397
    0.0154,-324.46022, 296.29615, 28.164071, 2362.2969,-542.32292,0.26813181, 542.05479, 537.70325
    0.0156,-198.13264, 85.452485, 112.68015, 1712.0693,-538.78501,-0.027227642, 538.81223,  534.5025
    0.0158,-160.73885,0.26353964, 160.47531,  1433.096,-398.92696,-135.38706, 534.31401, 529.99387
     0.016,-189.28605,0.20376501, 189.08229, 1541.8632,-366.88009,-163.11487, 529.99496, 525.61765
    0.0162,-236.92047,0.14318622, 236.77729, 1752.4971, -334.7071,-191.52074, 526.22783, 521.75519
    0.0164,-298.87053,0.082042337, 298.78849, 2051.7937,-302.63412, -220.5917, 523.22583, 518.62922
    0.0166,-370.03425,0.020574671, 370.01368, 2422.8692, -270.8553,-250.28061, 521.13592, 516.39691
    0.0168,-445.10402,-0.040974194, 445.14499, 2843.1035,-239.53044,-280.50468, 520.03512, 515.14591
     0.017,-518.69575,-0.10236135, 518.79811, 3283.2634,-208.78373,-311.14519, 519.92892, 514.89246
